ab_id,vh_germline,vl_germline,vh_identity,vl_identity,origin
Izastobart,IGHV3-15*01,IGKV3D-20*01,0.91,0.4375,natural_384
Lanadelumab,IGHV3-23*05,IGKV1-5*03,0.9184,0.9684,natural_384
Lanerkitug,IGHV3-23*01,IGKV2/OR22-4*01,0.9286,0.16,natural_384
Latozinemab,IGHV4-38-2*01,IGKV2-28*01,0.9898,0.93,natural_384
Lemzoparlimab,IGHV3-15*07,IGKV4-1*01,0.92,0.8911,natural_384
Lenzilumab,IGHV1-3*01,IGKV3-11*01,0.949,0.8316,natural_384
Lerdelimumab,IGHV3-33*01,IGKV1-13*01,0.9694,0.4043,natural_384
Lesabelimab,IGHV3-71*01,IGKV1-39*01,0.596,0.9263,natural_384
Lesofavumab,IGHV5-51*01,IGKV2-28*01,0.8878,0.99,natural_384
Letaplimab,IGHV4-59*01,IGKV1-12*01,1.0,0.9684,natural_384
Lexatumumab,IGHV3-20*04,IGKV1-13*01,0.949,0.4043,natural_384
Libevitug,IGHV6-1*01,IGKV3-20*01,1.0,0.4792,natural_384
Libivirumab,IGHV3-30*01,IGKV2-28*01,0.8673,0.92,natural_384
Linavonkibart,IGHV3-48*01,IGKV1-33*01,0.9286,0.9684,natural_384
Lirilumab,IGHV1-69*03,IGKV3-11*01,0.967,0.9789,natural_384
Lodapolimab,IGHV1-69*06,IGKV3-20*01,1.0,0.4896,natural_384
Lomtegovimab,IGHV3-30*18,IGKV1-5*03,0.8878,0.8842,natural_384
Lotivibart,IGHV1-2*02,IGKV1-13*02,0.5918,0.6526,natural_384
Lucatumumab,IGHV3-30*03,IGKV2-28*01,0.9388,0.95,natural_384
Lunlekitug,IGHV1-69*01,IGKV4-1*01,0.7959,0.9901,natural_384
Lupartumab,IGHV3-48*03,IGKV2/OR22-4*01,0.9286,0.17,natural_384
Maftivimab,IGHV3-23*04,IGKV1-39*01,0.9592,0.9789,natural_384
Manelimab,IGHV3-20*01,IGKV2/OR22-4*01,0.9286,0.18,natural_384
Maridebart,IGHV3-33*01,IGKV3-15*01,0.9286,0.9789,natural_384
Marstacimab,IGHV3-23*01,IGKV2/OR22-4*01,0.9898,0.17,natural_384
Masavibart,IGHV3-30*01,IGKV7-3*01,0.9592,0.1212,natural_384
Mavrilimumab,IGHV1-24*01,IGKV2/OR22-4*01,0.9286,0.16,natural_384
Melrilimab,IGHV3-23*01,IGKV3-11*01,0.9184,0.9263,natural_384
Metelimumab,IGHV3-30*03,IGKV1-6*01,0.9694,0.8842,natural_384
Mevonlerbart,IGHV3-23*04,IGKV1-5*03,0.949,0.9579,natural_384
Mibavademab,IGHV3-30*15,IGKV1-39*01,0.8673,1.0,natural_384
Micvotabart,IGHV3-23*01,IGKV3-20*02,0.9388,0.9556,natural_384
Moflerafusp,IGHV1-46*01,IGKV1-33*01,0.8776,0.9053,natural_384
Nadecnemab,IGHV3-23*04,IGKV1-12*01,0.9592,0.9895,natural_384
Namilumab,IGHV1-2*02,IGKV1-39*01,0.898,0.8842,natural_384
Narlumosbart,IGHV3-23*01,IGKV3-20*01,0.9796,0.9583,natural_384
Narnatumab,IGHV3-7*01,IGKV3-11*01,0.9592,0.9895,natural_384
Narsoplimab,IGHV2-26*01,IGKV1-13*01,0.94,0.4043,natural_384
Navivumab,IGHV1-18*02,IGKV3-20*01,0.7935,0.8229,natural_384
Necitumumab,IGHV4-30-2*07,IGKV3-11*01,0.9596,0.9368,natural_384
Negalstobart,IGHV4-39*01,IGKV1-33*01,0.9596,0.9684,natural_384
Nelistotug,IGHV1-69*01,IGKV1-39*01,0.9592,0.9474,natural_384
Nepuvibart,IGHV3-11*01,IGKV1-33*01,0.9694,0.9684,natural_384
Nesvacumab,IGHV3-13*01,IGKV3-20*02,0.9794,0.9667,natural_384
Nipocalimab,IGHV3-23*05,IGKV6-21*01,0.9184,0.1263,natural_384
Nirsevimab,IGHV1-69*01,IGKV1-33*01,0.8163,0.9368,natural_384
Nisevokitug,IGHV1-69*01,IGKV1-13*01,1.0,0.383,natural_384
Nivisnebart,IGHV1-46*01,IGKV3-15*01,0.9694,0.9579,natural_384
Nivolumab,IGHV3-33*01,IGKV3-11*01,0.9082,0.9895,natural_384
Nurulimab,IGHV3-30*01,IGKV3-20*01,0.9388,0.9792,natural_384
Nuvustotug,IGHV3-23*01,IGKV1-12*01,0.9898,1.0,natural_384
Oberotatug,IGHV3-15*01,IGKV1-39*01,0.97,0.8842,natural_384
Odesivimab,IGHV3-13*01,IGKV4-1*01,1.0,0.9703,natural_384
Ofatumumab,IGHV3-9*01,IGKV3-11*01,0.9697,1.0,natural_384
Ogalvibart,IGHV3-30*01,IGKV1-5*01,0.949,0.9579,natural_384
Olaratumab,IGHV4-39*01,IGKV3-11*01,0.9091,1.0,natural_384
Oleclumab,IGHV3-23*01,IGKV3D-20*01,0.9694,0.4271,natural_384
Olinvacimab,IGHV1-3*01,IGKV1-13*01,0.8469,0.383,natural_384
Omoprubart,IGHV1-2*02,IGKV1-33*01,0.8571,0.7789,natural_384
Omodenbamab,IGHV3-23*04,IGKV1-39*01,0.9082,0.9053,natural_384
Ompekimig2,IGHV3-7*01,IGKV1-16*01,0.898,0.8316,natural_384
Ontamalimab,IGHV1-18*01,IGKV2D-29*01,0.9388,0.96,natural_384
Onvatilimab,IGHV1-69*01,IGKV1-39*01,1.0,0.9263,natural_384
Opelkibart,IGHV5-51*01,IGKV1-12*01,0.949,0.8947,natural_384
Opicinumab,IGHV3-23*01,IGKV3-11*01,0.9082,0.9684,natural_384
Opucolimab,IGHV3-21*01,IGKV3D-20*01,0.949,0.4792,natural_384
Ordesekimab,IGHV5-51*01,IGKV3-20*01,0.9592,0.9688,natural_384
Ormutivimab,IGHV1-69*03,IGKV1-37*01,0.9231,0.1263,natural_384
Orticumab,IGHV3-23*01,IGKV3D-20*01,0.898,0.4479,natural_384
Osocimab,IGHV3-23*01,IGKV1-33*01,0.9082,0.9684,natural_384
Otilimab,IGHV3-15*04,IGKV1-13*01,0.82,0.2766,natural_384
Oxelumab,IGHV3-23*01,IGKV1D-16*01,0.949,1.0,natural_384
Pacibekitug,IGHV4-34*01,IGKV1D-16*01,0.9588,0.9895,natural_384
Pacmilimab,IGHV3-23*01,IGKV1-39*01,0.9286,0.9579,natural_384
Palverafusp,IGHV3-23*04,IGKV1-12*01,0.8673,0.8632,natural_384
Pamrevlumab,IGHV3/OR16-10*01,IGKV1D-16*01,0.9485,1.0,natural_384
Panitumumab,IGHV4-61*01,IGKV1-33*01,0.899,0.9579,natural_384
Panobacumab,IGHV3-66*01,IGKV2-30*01,0.8557,1.0,natural_384
Patritumab,IGHV4-34*01,IGKV4-1*01,0.9897,0.9505,natural_384
Pelgifatamab,IGHV3-33*01,IGKV1-27*01,0.9694,0.9474,natural_384
Pemivibart,IGHV3-21*07,IGKV2/OR22-4*01,0.8878,0.16,natural_384
Perenostobart,IGHV1-69*01,IGKV3-15*01,0.9592,0.9684,natural_384
Pimivalimab,IGHV1-46*01,IGKV1-5*01,0.9694,0.9684,natural_384
Ponsegromab,IGHV1-69*01,IGKV3-11*01,0.9388,0.9158,natural_384
Potravitug,IGHV4-34*03,IGKV3-20*01,0.8723,0.9583,natural_384
Pozelimab,IGHV4-59*02,IGKV1-6*01,0.9485,0.9684,natural_384
Plutavimab,IGHV3-53*01,IGKV1-12*01,0.9588,0.9368,natural_384
Precemtabart,IGHV4-31*02,IGKV3-15*01,0.9091,0.9474,natural_384
Prezalumab,IGHV3-7*01,IGKV1D-16*01,0.9796,0.9789,natural_384
Pritumumab,IGHV3-23*01,IGKV1-16*01,0.898,0.9158,natural_384
Pulocimab,IGHV3-21*01,IGKV1-12*01,0.9898,0.8421,natural_384
Puxitatug,IGHV4-34*01,IGKV1-17*01,0.9588,0.9684,natural_384
Quisovalimab,IGHV4-34*03,IGKV1-13*02,0.9681,0.9789,natural_384
Rademikibart,IGHV3/OR16-10*03,IGKV3-20*02,0.9175,0.9778,natural_384
Radretumab,IGHV3-23*01,IGKV3-20*02,0.949,0.9556,natural_384
Rafivirumab,IGHV1-69*03,IGKV1-37*01,0.9231,0.1263,natural_384
Ramantamig2,IGHV3-23*01,IGKV3-20*01,1.0,0.9479,natural_384
Ramucirumab,IGHV3-21*01,IGKV1-12*01,0.9898,0.8526,natural_384
Rapaprutug,IGHV3-23*01,IGKV3D-20*01,0.9286,0.4688,natural_384
Regdanvimab,IGHV2-70*12,IGKV3D-20*01,0.91,0.4792,natural_384
Relatlimab,IGHV4-34*03,IGKV3-11*01,0.9255,0.9895,natural_384
Remternetug,IGHV3-23*01,IGKV1-5*01,0.9796,0.8947,natural_384
Renvistobart,IGHV4-61*01,IGKV3-11*01,0.9798,1.0,natural_384
Retavibart,IGHV5-51*01,IGKV3-15*01,0.8673,0.9263,natural_384
Rezorstobart,IGHV3-23*01,IGKV1-12*01,0.9694,0.9474,natural_384
Rilotumumab,IGHV4-59*01,IGKV3-15*01,0.9691,0.9684,natural_384
Rinatabart,IGHV3-30*03,IGKV1-12*01,0.9694,0.9368,natural_384
Rinucumab,IGHV4-39*01,IGKV3-20*02,0.9293,0.9222,natural_384
Robatumumab,IGHV3/OR16-10*01,IGKV3-11*01,0.9072,0.8105,natural_384
Rocatinlimab,IGHV2-5*02,IGKV3-20*01,0.94,0.9792,natural_384
Roledumab,IGHV3-30*01,IGKV1-8*01,0.8673,0.8947,natural_384
Romlusevimab,IGHV7-4-1*03,IGKV1-13*01,0.956,0.4362,natural_384
Ruzaltatug,IGHV3-9*01,IGKV1-39*01,0.9697,0.8737,natural_384
Samatatug,IGHV1-18*01,IGKV1-5*03,0.949,0.8947,natural_384
Sarilumab,IGHV3-9*01,IGKV1-12*01,0.9394,0.9684,natural_384
Secukinumab,IGHV3-7*01,IGKV3-20*01,0.9286,1.0,natural_384
Selicrelumab,IGHV1-2*02,IGKV1-12*01,0.9796,0.9474,natural_384
Seribantumab,IGHV3-23*01,IGKV1-37*01,0.9082,0.1368,natural_384
Setrusumab,IGHV3-74*01,IGKV2/OR22-4*01,0.898,0.15,natural_384
Sifalimumab,IGHV1-18*01,IGKV3-20*01,0.9592,0.9896,natural_384
Siltartoxatug,IGHV4-34*09,IGKV1-5*03,0.866,0.8947,natural_384
Simaravibart,IGHV1-69*02,IGKV3-11*01,0.9592,0.9263,natural_384
Sintilimab,IGHV1-69*01,IGKV1-12*01,0.9388,0.9684,natural_384
Sipavibart,IGHV3-9*01,IGKV2-40*01,0.9394,0.1386,natural_384
Sirtratumab,IGHV3-33*01,IGKV2-28*01,0.9694,0.93,natural_384
Sirukumab,IGHV3-7*01,IGKV1-13*01,0.8776,0.6702,natural_384
Socazolimab,IGHV1-69*01,IGKV3D-20*01,0.9796,0.3229,natural_384
Solabafusp,IGHV4-4*08,IGKV6-21*02,0.8144,0.8632,natural_384
Sonavibart,IGHV6-1*01,IGKV1-39*01,0.9505,0.8947,natural_384
Sotrovimab,IGHV1-18*01,IGKV3-20*02,0.9286,0.9444,natural_384
Sovipostobart,IGHV3-30*01,IGKV3-20*01,0.949,0.9792,natural_384
Stamulumab,IGHV1-46*01,IGKV1-13*01,0.9898,0.4149,natural_384
Sudubrilimab,IGHV3-23*04,IGKV1-13*02,0.8571,0.8737,natural_384
Sugemalimab,IGHV3-23*01,IGKV1-13*01,0.9796,0.4362,natural_384
Suptavumab,IGHV3-9*01,IGKV3-15*01,0.8788,0.9474,natural_384
Surzebiclimab,IGHV3-66*01,IGKV7-3*01,0.8969,0.6667,natural_384
Suvratoxumab,IGHV3-13*01,IGKV1-5*03,0.9691,0.9579,natural_384
Tabalumab,IGHV4-34*01,IGKV3-11*01,1.0,0.9789,natural_384
Tabirafusp,IGHV3-23*03,IGKV1-13*01,0.8061,0.8511,natural_384
Tafolecimab,IGHV4-39*01,IGKV3-11*01,0.9596,0.9789,natural_384
Tamgiblimab,IGHV1-46*01,IGKV1-12*01,0.9592,0.9579,natural_384
Tarextumab,IGHV3-23*03,IGKV3-20*02,0.9286,0.9444,natural_384
Telikibart,IGHV3-23*04,IGKV2-28*01,0.9286,0.92,natural_384
Teprotumumab,IGHV3-33*01,IGKV3-11*01,0.9184,0.9789,natural_384
Teropavimab,IGHV1-2*02,IGKV1-39*01,0.5,0.3263,natural_384
Tesidolumab,IGHV1-69*01,IGKV1-13*01,0.9694,0.4468,natural_384
Tesnatilimab,IGHV4-59*03,IGKV3-20*01,0.9375,1.0,natural_384
Tezepelumab,IGHV3-33*01,IGKV1-13*01,0.9388,0.4255,natural_384
Tilrekimig2,IGHV3-33*01,IGKV1-13*01,0.9592,0.4149,natural_384
Timolumab,IGHV3-30*01,IGKV1-13*02,0.9184,0.9684,natural_384
Timcevibart,IGHV3-66*01,IGKV1-9*01,0.9691,0.9789,natural_384
Tiragolumab,IGHV6-1*01,IGKV4-1*01,0.9307,0.9703,natural_384
Tisotumab,IGHV3-23*01,IGKV1D-16*01,0.9388,0.9684,natural_384
Tixagevimab,IGHV1-58*01,IGKV3-20*01,0.9796,0.9792,natural_384
Tixestobart,IGHV7-4-1*02,IGKV1/OR2-11*01,0.9184,0.1277,natural_384
Tobevibart,IGHV3-7*01,IGKV1-13*01,0.8469,0.383,natural_384
Torudokimab,IGHV3-23*04,IGKV3-11*01,0.9592,0.8526,natural_384
Torvutatug,IGHV6-1*01,IGKV1-5*03,0.9703,0.9895,natural_384
Tosatoxumab,IGHV5-51*01,IGKV3D-20*01,0.8163,0.4583,natural_384
Tovetumab,IGHV3-11*01,IGKV1-39*01,0.9796,0.8947,natural_384
Tozorakimab,IGHV3-23*01,IGKV1-13*01,0.9388,0.4043,natural_384
Trabikibart,IGHV3-23*01,IGKV1-12*01,0.8571,1.0,natural_384
Tralokinumab,IGHV1-18*01,IGKV1-13*01,0.9286,0.4255,natural_384
Traxivitug,IGHV3-7*01,IGKV1-13*01,0.8878,0.4255,natural_384
Tremelimumab,IGHV3-33*01,IGKV1-39*01,1.0,0.9684,natural_384
Trevogrumab,IGHV3-23*01,IGKV1-27*01,0.9388,0.9053,natural_384
Trinbelimab,IGHV1-69*06,IGKV2/OR22-4*01,0.9286,0.12,natural_384
Trovostobart,IGHV4-59*01,IGKV3-11*01,0.9794,0.9684,natural_384
Tuvonralimab,IGHV3-33*01,IGKV3-11*01,0.9388,0.8632,natural_384
Ulocuplumab,IGHV3-48*02,IGKV1D-16*01,0.9694,0.9895,natural_384
Umesolerbart,IGHV3-48*01,IGKV3-15*01,0.9286,0.9474,natural_384
Urabrelimab,IGHV4-4*02,IGKV3-11*01,0.949,0.9368,natural_384
Urelumab,IGHV4-34*01,IGKV3-11*01,0.9278,1.0,natural_384
Ustekinumab,IGHV5-51*01,IGKV1D-16*01,0.8776,0.9895,natural_384
Utomilumab,IGHV5-10-1*04,IGKV1-13*01,0.949,0.4043,natural_384
Vantictumab,IGHV3-23*04,IGKV1-13*01,0.9082,0.4787,natural_384
Varisacumab,IGHV1-24*01,IGKV1-39*01,0.898,0.9895,natural_384
Varlilumab,IGHV3-33*01,IGKV1D-16*01,0.9898,0.9789,natural_384
Varokibart,IGHV4-31*07,IGKV1-13*01,0.9896,0.4043,natural_384
Vebanvibart,IGHV1-69*01,IGKV1-33*01,0.8878,0.9579,natural_384
Vesencumab,IGHV3-23*04,IGKV1-39*01,0.9082,0.8947,natural_384
Verekitug,IGHV3-23*01,IGKV1-16*02,0.898,0.9684,natural_384
Verzistobart,IGHV3-23*04,IGKV3-11*01,0.949,0.9368,natural_384
Vilamakitug,IGHV1-69*01,IGKV4-1*01,0.7959,1.0,natural_384
Vipalanebart,IGHV3-23*01,IGKV1-33*01,0.9388,0.8737,natural_384
Vislarafusp,IGHV3-23*04,IGKV1-39*01,0.7857,0.8632,natural_384
Vixarelimab,IGHV1-8*01,IGKV3D-20*01,0.9592,0.4167,natural_384
Vixticibart,IGHV1-2*02,IGKV1-39*01,0.9184,0.9474,natural_384
Vofatamab,IGHV3-23*04,IGKV1-39*01,0.8469,0.8632,natural_384
Volagidemab,IGHV3-33*01,IGKV1-17*01,0.9592,0.9684,natural_384
Vopikitug,IGHV1-69*01,IGKV1-5*03,0.9898,0.9789,natural_384
Vulinacimab,IGHV3-23*04,IGKV2-30*01,0.9082,0.83,natural_384
Xeligekimab,IGHV3-7*01,IGKV1-16*01,0.8878,0.8737,natural_384
Zalifrelimab,IGHV3-21*01,IGKV3-11*01,1.0,0.8737,natural_384
Zalutumumab,IGHV3-33*01,IGKV1-13*02,0.9592,0.9684,natural_384
Zanolimumab,IGHV4-34*01,IGKV1-12*01,1.0,0.9789,natural_384
Zeluvalimab,IGHV3-23*01,IGKV1-12*01,0.9184,0.9684,natural_384
Zimberelimab,IGHV4-39*01,IGKV6-21*01,0.8788,0.1263,natural_384
Zinlirvimab,IGHV4-59*03,IGKV2-40*02,0.7917,0.0843,natural_384
Zovostotug,IGHV3-30*01,IGKV1-39*01,0.9898,1.0,natural_384
