antibody_id,discovery_platform,ADI_natural384,pI,GRAVY,instability_index,net_charge_pH7,charge_patch_max7,Fv_charge_asymmetry,hydro_patch_max9,SAP_score,agg_motifs,hydro_cluster_count,glycosylation_sites,deamidation_sites,isomerization_sites,oxidation_sites,free_cys,total_cdr_length,psh,ppc,pnc,sfvcsp,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total
Narnatumab,phage_display,67.39,8.86,-0.386,45.9,3.9,3.0,1.913,0.667,0.714,6.0,6.0,0.0,2.0,3.0,8.0,4.0,49.0,313.4,3.1,2.0,6.0,86.18021,78.0,4.639771,1.238109,515.810816
Narsoplimab,transgenic_animal,57.05,8.99,-0.358,34.3,4.82,3.0,7.089,0.778,0.714,6.0,5.0,0.0,1.0,1.0,10.0,4.0,45.0,631.18,3.0,2.0,-6.0,86.654518,69.0,4.593962,1.386447,594.460279
Navivumab,human_b_cell_derived,61.14,9.19,-0.378,29.7,5.91,3.0,0.081,0.667,0.714,6.0,5.0,0.0,0.0,1.0,6.0,4.0,54.0,625.3,3.1,2.0,6.3,79.793245,71.0,4.615729,1.127537,524.028682
Necitumumab,phage_display,68.83,7.78,-0.2,35.7,0.81,3.0,0.828,0.556,0.571,4.0,4.0,0.0,1.0,0.0,7.0,4.0,48.0,585.71,1.0,1.0,2.0,83.515374,60.0,4.764477,2.225371,502.064671
Negalstobart,phage_display,63.66,5.17,-0.239,33.3,-2.27,3.0,3.994,0.667,0.714,2.0,2.0,0.0,0.0,0.0,9.0,4.0,48.0,561.05,2.0,3.0,-4.0,81.66303,80.0,4.649056,1.812293,624.062831
Nelistotug,human_b_cell_derived,66.22,7.78,-0.209,43.2,0.82,3.0,3.078,0.667,0.714,1.0,1.0,0.0,0.0,0.0,7.0,4.0,48.0,970.6,1.0,2.0,-6.2,79.264915,66.0,4.633257,0.782277,560.346459
Nepuvibart,phage_display,70.71,6.47,-0.26,40.9,-0.27,3.0,3.997,0.667,0.714,1.0,1.0,0.0,1.0,1.0,8.0,4.0,47.0,303.52,2.0,3.0,-4.0,85.67497,61.0,4.765785,2.833453,504.009766
Nesvacumab,phage_display,68.44,7.88,-0.184,39.9,0.98,3.0,0.996,0.667,0.714,5.0,5.0,0.0,3.0,0.0,5.0,4.0,49.0,862.0,1.1,1.0,2.1,82.437395,68.0,4.698698,2.14146,514.903883
Nipocalimab,transgenic_animal,65.94,7.87,-0.216,37.1,0.89,4.0,2.991,0.556,0.571,2.0,2.0,0.0,2.0,3.0,8.0,4.0,47.0,715.99,1.0,2.0,-1.8,87.780527,56.0,4.644696,1.901273,594.849598
Nirsevimab,transgenic_animal,58.57,4.6,-0.17,44.5,-9.08,3.0,4.812,0.667,0.714,5.0,4.0,0.0,0.0,0.0,9.0,4.0,53.0,1630.22,0.1,8.0,6.9,78.079424,66.0,4.673451,2.238362,590.602979
Nisevokitug,transgenic_animal,58.71,5.49,-0.193,32.7,-2.17,4.0,6.207,0.667,0.714,2.0,1.0,0.0,1.0,1.0,8.0,4.0,50.0,820.77,2.0,3.0,-0.0,83.192901,64.0,4.715035,2.716659,538.391224
Nivisnebart,transgenic_animal,56.44,9.28,-0.243,43.2,6.73,2.0,0.92,0.556,0.714,6.0,5.0,0.0,0.0,0.0,11.0,4.0,56.0,553.41,2.0,2.0,16.0,75.654172,77.0,4.657119,2.058974,582.073604
Nivolumab,transgenic_animal,61.84,8.65,-0.36,43.4,2.82,3.0,1.009,0.778,0.857,9.0,6.0,0.0,3.0,2.0,8.0,4.0,40.0,180.56,2.0,2.0,6.0,86.723834,55.0,4.66502,1.600059,521.023426
Nurulimab,phage_display,75.43,8.64,-0.31,43.2,2.89,3.0,1.084,0.556,0.714,4.0,4.0,0.0,2.0,2.0,8.0,4.0,46.0,236.77,1.0,1.0,6.0,84.963338,63.0,4.652496,2.521903,475.91968
Nuvustotug,phage_display,68.07,7.86,-0.158,47.6,0.8,3.0,2.919,0.667,0.714,3.0,2.0,0.0,3.0,1.0,10.0,4.0,49.0,700.2,1.0,2.0,0.0,84.256741,69.0,4.767715,2.71901,528.909274
Oberotatug,phage_display,77.46,8.63,-0.303,44.2,2.8,3.0,0.921,0.667,0.714,2.0,2.0,0.0,1.0,2.0,9.0,4.0,46.0,834.63,4.0,2.0,6.0,85.275013,60.0,4.754865,2.138071,526.474423
Odesivimab,phage_display,69.28,6.85,-0.262,37.4,-0.11,2.0,0.164,0.556,0.714,5.0,5.0,0.0,2.0,1.0,9.0,4.0,51.0,203.27,1.0,2.0,1.0,77.750277,65.0,4.663245,1.433271,462.111488
Ofatumumab,transgenic_animal,78.47,8.35,-0.312,44.1,1.9,3.0,0.081,0.556,0.571,4.0,4.0,0.0,2.0,1.0,9.0,4.0,49.0,523.95,1.0,2.0,6.0,85.085473,72.0,4.687993,1.755828,489.262816
Ogalvibart,transgenic_animal,72.1,8.33,-0.286,43.3,1.9,3.0,2.172,0.778,0.857,7.0,3.0,0.0,3.0,2.0,9.0,4.0,46.0,291.33,2.0,2.0,0.0,86.139432,64.0,4.665965,1.233274,480.772321
Olaratumab,transgenic_animal,73.93,8.31,-0.329,53.2,1.73,3.0,0.085,0.667,0.571,5.0,5.0,1.0,1.0,0.0,8.0,4.0,54.0,129.33,2.0,1.0,6.0,77.645031,95.0,4.35976,0.377088,471.946641
Oleclumab,phage_display,69.46,8.37,-0.279,36.9,1.89,4.0,3.989,0.556,0.714,2.0,2.0,0.0,2.0,2.0,7.0,4.0,48.0,361.26,2.0,3.0,0.0,88.746572,65.0,4.617758,2.015342,507.605477
Olinvacimab,transgenic_animal,52.85,7.0,-0.429,30.3,-0.0,4.0,6.081,0.556,0.714,3.0,2.0,0.0,2.0,0.0,13.0,4.0,49.0,325.72,1.0,3.0,-8.99,86.8218,68.0,4.533088,0.682968,595.572456
Omoprubart,transgenic_animal,63.2,7.81,-0.253,34.7,1.0,2.0,3.015,0.556,0.571,2.0,2.0,0.0,0.0,0.0,10.0,4.0,49.0,1169.04,1.1,2.0,0.12,81.448317,79.0,4.663349,1.900645,640.653725
Omodenbamab,phage_display,72.27,8.4,-0.206,49.0,1.81,3.0,1.92,0.667,0.714,3.0,2.0,1.0,3.0,1.0,9.0,4.0,52.0,560.06,1.0,1.0,3.0,81.122507,71.0,4.704797,1.470993,484.914164
Ompekimig2,unlabeled,73.05,8.77,-0.382,40.0,3.97,3.0,2.097,0.667,0.857,4.0,2.0,0.0,2.0,0.0,9.0,4.0,47.0,127.17,3.2,2.0,10.4,83.509807,72.0,4.576854,0.375486,510.445211
Ontamalimab,phage_display,66.89,6.77,-0.324,30.0,-0.19,3.0,1.907,0.667,0.714,2.0,2.0,0.0,0.0,1.0,12.0,4.0,56.0,404.5,1.0,2.0,0.0,78.751388,72.0,4.659001,1.149092,516.816539
Onvatilimab,phage_display,71.9,8.31,-0.289,46.7,1.73,3.0,1.994,0.667,0.571,1.0,1.0,0.0,0.0,0.0,8.0,4.0,47.0,827.98,1.0,2.0,0.0,83.028904,69.0,4.710263,1.938568,524.533354
Opelkibart,unlabeled,72.24,8.33,-0.407,33.3,1.9,3.0,2.162,0.667,0.857,4.0,2.0,0.0,1.0,1.0,10.0,4.0,50.0,435.13,2.1,4.0,2.0,81.028271,81.0,4.623666,0.553486,582.256647
Opicinumab,phage_display,69.8,5.24,-0.297,42.1,-2.18,3.0,3.918,0.556,0.714,3.0,3.0,0.0,2.0,1.0,9.0,4.0,46.0,454.67,1.0,5.0,-2.0,86.586032,72.0,4.664687,1.350127,547.017215
Opucolimab,transgenic_animal,66.42,7.86,-0.257,49.9,0.81,3.0,5.072,0.556,0.571,2.0,2.0,0.0,2.0,1.0,11.0,4.0,53.0,246.06,2.0,3.0,-6.0,86.100278,69.0,4.705734,2.372845,529.414764
Ordesekimab,transgenic_animal,69.48,8.55,-0.315,35.8,2.88,3.0,1.106,0.556,0.571,4.0,4.0,0.0,0.0,1.0,9.0,5.0,45.0,242.56,2.0,2.0,2.1,80.204076,72.0,4.597209,1.433413,581.367339
Ormutivimab,phage_display,69.98,6.76,-0.322,38.1,-0.19,4.0,0.069,0.667,0.571,2.0,2.0,0.0,1.0,0.0,8.0,5.0,60.0,860.26,2.0,2.0,0.0,79.197141,69.0,4.696928,2.680122,608.696079
Orticumab,transgenic_animal,71.74,9.07,-0.264,41.2,4.89,4.0,1.167,0.667,0.714,4.0,4.0,0.0,4.0,1.0,9.0,4.0,52.0,560.28,2.0,1.0,12.3,89.986665,74.0,4.655775,1.959344,538.733926
Osocimab,transgenic_animal,63.19,4.96,-0.311,40.7,-3.19,3.0,3.072,0.556,0.571,1.0,1.0,0.0,2.0,2.0,8.0,4.0,47.0,590.34,1.0,2.0,-4.0,85.510753,64.0,4.75796,2.653687,505.253712
Otilimab,phage_display,65.69,8.81,-0.293,35.4,3.73,4.0,2.0,0.556,0.714,3.0,2.0,0.0,3.0,1.0,9.0,4.0,43.0,348.67,2.0,3.0,8.0,88.535406,56.0,4.697497,1.639889,591.261367
Oxelumab,transgenic_animal,70.73,8.34,-0.235,46.2,1.8,2.0,0.08,0.556,0.714,4.0,3.0,0.0,4.0,1.0,8.0,4.0,47.0,780.84,2.0,2.0,6.0,85.477501,74.0,4.728137,2.301057,556.037054
Pacibekitug,transgenic_animal,54.12,7.78,-0.356,33.5,0.82,5.0,4.902,0.556,0.714,2.0,1.0,0.0,0.0,0.0,9.0,4.0,43.0,259.15,1.1,5.0,3.3,84.650574,74.0,4.636652,1.422518,578.582188
Pacmilimab,transgenic_animal,71.01,8.64,-0.22,46.3,2.8,3.0,1.079,0.667,0.714,2.0,2.0,0.0,4.0,1.0,9.0,4.0,43.0,801.7,2.0,1.0,6.0,88.812458,67.0,4.678107,0.92889,503.865892
Palverafusp,unlabeled,78.51,7.87,-0.232,40.5,1.06,3.0,0.831,0.667,0.857,6.0,3.0,0.0,1.0,2.0,9.0,4.0,45.0,421.68,2.1,1.0,2.31,87.132579,69.0,4.686345,1.954731,503.330581
Pamrevlumab,phage_display,66.58,8.29,-0.319,46.3,1.96,2.0,0.24,0.556,0.714,3.0,2.0,0.0,3.0,1.0,9.0,5.0,47.0,122.3,1.1,2.0,2.4,87.04242,81.0,4.586108,0.596883,573.05134
Panitumumab,transgenic_animal,59.19,5.89,-0.25,32.3,-2.01,3.0,3.908,0.556,0.571,2.0,2.0,0.0,0.0,0.0,7.0,4.0,46.0,468.87,2.0,4.0,0.0,85.536757,67.0,4.654591,1.42472,480.8678
Panobacumab,transgenic_animal,59.62,8.66,-0.402,51.4,2.98,3.0,0.923,0.556,0.714,3.0,2.0,0.0,2.0,4.0,12.0,4.0,48.0,200.73,2.0,3.0,6.2,81.340754,68.0,4.618872,1.633377,553.080662
Patritumab,phage_display,60.81,8.3,-0.402,29.1,1.82,2.0,4.08,0.556,0.714,4.0,4.0,1.0,0.0,1.0,10.0,4.0,50.0,141.1,2.0,4.0,-5.1,74.393125,77.0,4.644292,1.263831,479.052971
Pelgifatamab,unlabeled,66.04,8.78,-0.323,42.2,3.81,3.0,2.086,0.778,0.857,7.0,4.0,0.0,3.0,2.0,9.0,4.0,50.0,454.51,1.0,1.0,8.0,82.066745,69.0,4.68842,2.026412,520.415032
Pemivibart,transgenic_animal,64.22,4.96,-0.275,35.6,-4.11,4.0,0.005,0.556,0.571,3.0,3.0,0.0,2.0,4.0,7.0,4.0,57.0,192.68,1.0,5.0,-0.0,88.832017,90.0,4.586431,1.663882,497.847381
Perenostobart,transgenic_animal,66.71,8.86,-0.207,45.9,3.83,2.0,0.159,0.667,0.714,5.0,5.0,0.0,0.0,0.0,8.0,4.0,48.0,575.52,2.1,3.0,0.0,82.465598,62.0,4.734866,2.451526,576.191939
Pimivalimab,transgenic_animal,67.79,8.29,-0.356,45.6,1.81,3.0,2.083,0.556,0.714,3.0,2.0,0.0,1.0,0.0,10.0,4.0,45.0,166.52,1.0,1.0,0.0,84.597057,63.0,4.738105,2.286694,559.778002
Ponsegromab,phage_display,70.05,5.72,-0.269,40.0,-2.08,3.0,0.074,0.556,0.571,4.0,4.0,0.0,0.0,1.0,10.0,4.0,47.0,402.36,1.1,2.0,-0.1,84.576469,67.0,4.768391,2.874103,507.570291
Potravitug,human_b_cell_derived,61.6,9.02,-0.274,32.8,4.9,3.0,5.091,0.556,0.714,4.0,4.0,0.0,0.0,0.0,7.0,4.0,49.0,235.57,2.0,1.0,5.2,82.207114,77.0,4.615628,1.582699,482.605619
Pozelimab,phage_display,75.08,8.31,-0.281,35.2,1.73,3.0,4.033,0.667,0.714,2.0,2.0,0.0,0.0,1.0,8.0,4.0,47.0,321.51,1.0,2.0,8.0,83.886851,71.0,4.740461,2.255161,492.398752
Plutavimab,transgenic_animal,68.34,6.55,-0.241,43.8,-0.19,2.0,1.915,0.556,0.714,3.0,2.0,0.0,2.0,1.0,9.0,4.0,44.0,408.95,1.0,2.0,0.0,88.042342,78.0,4.652509,1.596584,554.653155
Precemtabart,transgenic_animal,63.53,9.02,-0.185,39.5,4.89,2.1,0.918,0.667,0.714,6.0,5.0,0.0,0.0,1.0,6.0,4.0,46.0,873.51,1.0,2.0,12.4,83.829668,69.0,4.586325,1.022289,557.723946
Prezalumab,transgenic_animal,68.48,7.85,-0.324,47.6,0.81,2.0,0.919,0.556,0.714,5.0,3.0,0.0,2.0,3.0,10.0,4.0,48.0,632.11,2.0,2.0,3.0,84.21249,73.0,4.645077,1.246466,526.7966
Pritumumab,transgenic_animal,71.38,8.35,-0.219,40.9,1.89,3.0,0.006,0.556,0.714,2.0,1.0,0.0,2.0,1.0,8.0,4.0,47.0,140.22,1.1,1.0,2.1,85.833377,67.0,4.55543,0.642074,498.562697
Pulocimab,transgenic_animal,68.78,8.64,-0.171,38.7,2.8,3.0,1.076,0.556,0.571,2.0,2.0,0.0,2.0,1.0,9.0,4.0,43.0,403.69,1.0,2.0,4.0,86.552545,59.0,4.673247,1.960648,545.551139
Puxitatug,transgenic_animal,57.78,9.14,-0.378,40.7,5.9,3.0,2.004,0.556,0.571,0.0,0.0,1.0,1.0,1.0,8.0,4.0,44.0,123.2,1.1,1.0,9.3,83.806844,78.0,4.561867,1.143002,556.05355
Quisovalimab,phage_display,67.43,8.32,-0.19,26.6,1.9,3.0,0.138,0.556,0.714,5.0,3.0,0.0,2.0,0.0,7.0,4.0,49.0,389.76,1.0,2.0,6.2,84.463612,73.0,4.692185,1.960034,511.346713
Rademikibart,phage_display,74.89,8.66,-0.277,36.9,2.9,3.0,2.909,0.667,0.714,7.0,5.0,0.0,2.0,1.0,7.0,4.0,44.0,231.11,2.0,1.0,4.4,87.050078,62.0,4.666867,2.103995,537.01227
Radretumab,unlabeled,71.38,8.66,-0.233,44.4,2.81,3.0,1.005,0.556,0.571,5.0,4.0,0.0,2.0,1.0,6.0,4.0,44.0,266.67,1.0,1.0,6.0,85.618605,62.0,4.718192,2.500472,468.540595
Rafivirumab,human_b_cell_derived,69.98,6.76,-0.322,38.1,-0.19,4.0,0.069,0.667,0.571,2.0,2.0,0.0,1.0,0.0,8.0,5.0,60.0,860.26,2.0,2.0,0.0,79.197141,69.0,4.696928,2.680122,608.696079
Ramantamig2,unlabeled,73.41,6.98,-0.289,46.1,-0.02,3.0,2.002,0.556,0.714,3.0,3.0,0.0,2.0,1.0,8.0,4.0,52.0,349.56,1.0,3.0,1.1,82.960127,82.0,4.666823,1.47601,519.574876
Ramucirumab,phage_display,68.47,8.64,-0.168,38.3,2.8,3.0,1.076,0.556,0.571,2.0,2.0,0.0,2.0,1.0,9.0,4.0,43.0,402.33,1.0,2.0,4.0,86.469108,61.0,4.680246,1.911022,546.493402
Rapaprutug,transgenic_animal,61.39,5.15,-0.234,46.0,-2.19,4.0,2.076,0.556,0.714,3.0,3.0,0.0,3.0,1.0,7.0,4.0,47.0,535.67,1.0,3.0,-2.0,89.297627,65.0,4.61648,1.814807,497.017849
Regdanvimab,human_b_cell_derived,63.48,8.3,-0.268,26.3,1.81,3.0,6.007,0.778,0.857,6.0,4.0,0.0,0.0,1.0,9.0,4.0,59.0,671.71,3.0,3.0,-6.1,79.731474,84.0,4.690251,2.322913,555.093207
Relatlimab,phage_display,67.09,6.78,-0.359,30.8,-0.18,3.0,0.007,0.556,0.571,4.0,4.0,0.0,1.0,0.0,8.0,4.0,47.0,202.06,1.1,2.0,1.1,83.610052,74.0,4.504468,0.82003,513.230405
Remternetug,transgenic_animal,70.95,8.33,-0.316,37.8,1.89,3.0,2.009,0.556,0.714,3.0,2.0,0.0,3.0,1.0,9.0,4.0,49.0,120.29,1.1,3.0,4.0,84.338636,70.0,4.682606,2.39896,503.245503
Renvistobart,transgenic_animal,65.41,7.76,-0.232,31.9,0.81,3.0,0.999,0.556,0.714,4.0,4.0,0.0,0.0,0.0,6.0,4.0,59.0,461.97,1.0,2.0,4.2,75.886566,79.0,4.62765,0.857001,530.981821
Retavibart,transgenic_animal,68.63,7.78,-0.242,41.7,0.73,2.0,0.917,0.667,0.857,8.0,6.0,0.0,0.0,1.0,10.0,4.0,55.0,790.73,1.0,2.0,1.0,74.418548,74.0,4.649987,1.404061,514.194939
Rezorstobart,human_b_cell_derived,75.8,8.36,-0.121,47.6,1.89,3.0,2.006,0.667,0.714,4.0,3.0,0.0,2.0,2.0,8.0,4.0,48.0,735.92,1.0,3.0,3.1,85.159351,73.0,4.667108,1.570937,532.233065
Rilotumumab,transgenic_animal,69.21,8.61,-0.236,31.6,2.73,2.0,1.086,0.556,0.571,4.0,4.0,0.0,1.0,1.0,8.0,4.0,48.0,396.37,1.0,1.0,4.0,83.111934,70.0,4.711198,1.876967,494.228135
Rinatabart,phage_display,65.62,9.1,-0.24,48.6,5.88,3.0,2.088,0.667,0.857,8.0,5.0,0.0,2.0,2.0,8.0,4.0,50.0,179.82,2.0,1.0,15.0,82.922715,69.0,4.701455,2.236453,455.791663
Rinucumab,transgenic_animal,67.89,8.85,-0.234,37.8,3.82,3.0,3.829,0.556,0.571,4.0,4.0,0.0,1.0,1.0,6.0,4.0,50.0,244.84,1.0,1.0,5.0,80.0886,79.0,4.585768,1.541355,475.466795
Robatumumab,phage_display,74.76,9.05,-0.248,46.0,5.16,3.0,0.819,0.667,0.714,4.0,4.0,0.0,2.0,1.0,7.0,4.0,45.0,523.73,1.2,1.0,9.3,89.352981,64.0,4.646073,0.963681,509.756859
Rocatinlimab,phage_display,60.16,8.86,-0.263,36.5,3.99,3.0,4.178,0.778,0.857,8.0,6.0,0.0,0.0,1.0,8.0,4.0,44.0,208.47,2.2,2.0,6.1,80.216065,62.0,4.688211,2.410572,542.739049
Roledumab,phage_display,62.88,9.19,-0.376,66.6,5.9,3.0,0.147,0.667,0.714,3.0,3.0,0.0,4.0,2.0,8.0,4.0,53.0,1257.33,2.0,2.0,16.4,79.494368,60.0,4.695228,2.125592,593.750676
Romlusevimab,transgenic_animal,61.16,6.13,-0.212,28.3,-1.1,4.0,1.125,0.556,0.714,3.0,2.0,0.0,1.0,2.0,9.0,4.0,48.0,517.51,1.1,2.0,-0.9,84.465092,65.0,4.70201,2.165677,609.736011
Ruzaltatug,unlabeled,70.67,8.64,-0.331,44.3,2.9,3.0,0.995,0.667,0.714,1.0,1.0,0.0,3.0,1.0,8.0,4.0,45.0,286.99,1.0,2.0,6.2,87.422138,62.0,4.684596,2.168798,417.242746
Samatatug,transgenic_animal,79.85,8.29,-0.296,39.7,1.72,3.0,0.001,0.667,0.714,4.0,3.0,0.0,0.0,0.0,11.0,4.0,51.0,481.7,1.0,3.0,0.0,83.134456,79.0,4.659498,1.000722,566.602146
Sarilumab,transgenic_animal,73.98,7.88,-0.291,42.6,0.9,3.0,0.827,0.556,0.714,4.0,3.0,0.0,4.0,2.0,10.0,4.0,43.0,546.13,2.0,2.0,2.0,87.269898,63.0,4.733693,2.67891,479.963531
Secukinumab,phage_display,72.65,6.85,-0.278,44.0,-0.11,3.0,1.906,0.667,0.857,7.0,5.0,0.0,2.0,1.0,8.0,5.0,55.0,555.59,1.0,2.0,0.0,81.456461,61.0,4.736561,2.349621,525.462442
Selicrelumab,transgenic_animal,67.63,8.48,-0.305,41.5,2.79,2.0,1.066,0.556,0.714,3.0,2.0,0.0,1.0,1.0,11.0,6.0,53.0,334.76,1.0,2.0,4.0,79.798175,73.0,4.663825,2.440617,565.484547
Seribantumab,transgenic_animal,68.25,8.3,-0.094,45.3,1.97,4.0,2.088,0.667,0.714,7.0,3.0,0.0,2.0,1.0,8.0,5.0,51.0,764.8,1.0,1.0,0.31,87.862829,74.0,4.642369,1.648129,529.550923
Setrusumab,transgenic_animal,62.61,5.56,-0.329,41.6,-3.01,4.0,5.085,0.556,0.571,2.0,2.0,0.0,2.0,2.0,7.0,4.0,49.0,528.24,3.2,2.0,-6.09,89.322975,62.0,4.695487,2.129143,702.991697
Sifalimumab,transgenic_animal,67.3,9.0,-0.33,31.6,4.73,3.0,0.918,0.667,0.714,5.0,5.0,0.0,1.0,0.0,7.0,4.0,44.0,257.73,1.0,1.0,6.0,83.840271,63.0,4.707302,1.765388,596.962445
Siltartoxatug,transgenic_animal,70.08,8.81,-0.22,34.6,3.81,2.1,2.087,0.667,0.714,3.0,2.0,0.0,2.0,1.0,6.0,4.0,45.0,344.45,3.1,1.0,5.1,85.656215,75.0,4.670577,1.872189,600.530971
Simaravibart,transgenic_animal,74.32,7.79,-0.229,48.9,0.82,3.0,3.012,0.667,0.571,4.0,4.0,0.0,0.0,1.0,8.0,4.0,48.0,1161.59,4.1,2.0,0.0,77.636369,64.0,4.587004,1.218854,564.558565
Sintilimab,phage_display,62.88,7.81,-0.167,45.1,0.91,3.0,2.992,0.778,0.714,5.0,4.0,0.0,0.0,0.0,9.0,4.0,47.0,1007.25,1.0,2.0,-2.79,83.060885,71.0,4.710871,2.470889,507.491772
Sipavibart,transgenic_animal,71.83,6.98,-0.239,42.8,-0.02,4.0,1.918,0.667,0.714,2.0,1.0,0.0,2.0,2.0,8.0,4.0,55.0,619.88,2.0,3.0,1.21,84.946805,71.0,4.580274,1.059191,494.459923
Sirtratumab,unlabeled,60.54,8.35,-0.201,48.1,1.99,3.0,4.083,0.778,0.857,8.0,5.0,0.0,1.0,2.0,11.0,4.0,52.0,621.13,1.1,1.0,3.41,77.825327,87.0,4.528197,1.272584,504.326772
Sirukumab,transgenic_animal,59.98,5.49,-0.096,47.5,-1.19,3.0,2.999,0.667,0.714,5.0,5.0,0.0,2.0,0.0,12.0,4.0,45.0,521.72,1.0,1.0,0.0,87.138955,68.0,4.499551,0.616598,550.981414
Socazolimab,transgenic_animal,63.87,5.86,-0.162,45.1,-1.11,4.0,1.005,0.667,0.571,2.0,2.0,0.0,0.0,0.0,8.0,4.0,49.0,892.97,1.0,2.0,-0.1,83.690761,64.0,4.74342,1.708073,600.75806
Solabafusp,unlabeled,75.75,7.78,-0.369,40.8,0.82,3.0,0.835,0.667,0.714,3.0,3.0,0.0,3.0,1.0,7.0,4.0,47.0,208.11,1.0,4.0,6.0,85.401714,74.0,4.693704,2.560558,476.631104
Sonavibart,phage_display,64.62,8.86,-0.413,51.3,3.9,3.0,3.995,0.667,0.714,2.0,2.0,0.0,1.0,1.0,9.0,4.0,51.0,878.05,2.0,1.0,4.4,82.448285,66.0,4.598735,1.682952,539.634627
Sotrovimab,human_b_cell_derived,60.38,8.64,-0.375,31.5,2.82,3.0,2.831,0.556,0.714,5.0,5.0,0.0,0.0,0.0,9.0,4.0,54.0,289.79,1.0,2.0,3.3,76.466679,68.0,4.680019,1.942537,552.990378
Sovipostobart,transgenic_animal,73.19,8.85,-0.31,42.9,3.82,3.0,2.007,0.556,0.714,4.0,4.0,0.0,2.0,2.0,8.0,4.0,46.0,235.9,1.0,1.0,8.0,84.936194,63.0,4.654087,2.525327,486.281802
Stamulumab,phage_display,58.41,5.15,-0.366,36.6,-4.01,3.0,4.376,0.556,0.714,3.0,2.0,0.0,1.0,1.0,11.0,4.0,43.0,509.37,1.1,3.0,-3.9,88.006441,68.0,4.457473,0.886113,690.005009
Sudubrilimab,phage_display,76.9,7.88,-0.2,40.7,1.07,3.0,0.83,0.667,0.857,6.0,3.0,0.0,1.0,1.0,9.0,4.0,45.0,477.01,2.1,1.0,2.31,87.18674,69.0,4.685246,2.094905,506.137957
Sugemalimab,phage_display,59.69,6.15,-0.304,37.5,-1.02,4.0,5.194,0.556,0.714,3.0,2.0,0.0,3.0,3.0,7.0,4.0,50.0,576.26,1.0,3.0,-3.8,85.890939,67.0,4.687082,2.315906,569.892183
Suptavumab,transgenic_animal,74.54,7.85,-0.208,44.1,0.89,2.0,2.915,0.667,0.714,4.0,4.0,0.0,1.0,1.0,9.0,4.0,50.0,507.39,2.0,2.0,3.0,84.698518,55.0,4.727975,2.430757,526.301386
Surzebiclimab,phage_display,65.72,6.62,-0.18,46.8,-0.18,2.0,1.995,0.667,0.857,6.0,4.0,0.0,1.0,2.0,7.0,4.0,50.0,855.23,2.0,2.0,0.0,80.754268,74.0,4.69181,2.059386,477.55984
Suvratoxumab,transgenic_animal,71.43,8.33,-0.359,38.8,2.06,3.0,1.659,0.556,0.714,3.0,2.0,0.0,2.0,1.0,10.0,4.0,48.0,261.08,4.2,4.0,2.4,86.174643,80.0,4.585183,1.411938,499.246961
Tabalumab,transgenic_animal,66.23,8.79,-0.341,32.1,3.81,3.0,2.001,0.556,0.571,4.0,4.0,1.0,0.0,1.0,7.0,4.0,50.0,405.0,2.0,2.0,9.3,80.531836,78.0,4.581463,0.626857,526.798731
Tabirafusp,unlabeled,71.63,5.36,-0.165,40.0,-2.11,3.0,0.169,0.667,0.714,3.0,3.0,0.0,1.0,1.0,9.0,4.0,45.0,583.64,1.0,2.0,-1.0,84.549781,73.0,4.550812,1.378817,691.046872
Tafolecimab,transgenic_animal,68.53,9.03,-0.257,38.5,4.73,3.0,0.918,0.556,0.571,4.0,4.0,0.0,1.0,0.0,7.0,4.0,52.0,562.96,2.0,1.0,15.0,79.951359,74.0,4.623273,0.553536,493.238564
Tamgiblimab,phage_display,67.78,9.0,-0.21,46.9,4.9,3.0,1.178,0.667,0.714,5.0,3.0,0.0,0.0,0.0,10.0,4.0,49.0,1089.71,2.0,4.0,9.0,81.561847,62.0,4.755784,2.920604,534.610139
Tarextumab,transgenic_animal,70.21,8.89,-0.171,45.3,3.81,3.0,0.074,0.667,0.714,5.0,5.0,0.0,2.0,1.0,6.0,4.0,43.0,290.1,1.0,1.0,9.0,85.926773,57.0,4.685736,2.698964,559.124179
Telikibart,transgenic_animal,65.77,8.61,-0.169,47.3,2.8,3.0,3.076,0.556,0.571,2.0,2.0,0.0,2.0,1.0,8.0,4.0,57.0,1297.0,4.0,1.0,10.0,73.585098,70.0,4.650071,1.731324,468.066664
Teprotumumab,transgenic_animal,51.01,9.21,-0.333,50.4,5.83,3.0,0.017,0.889,1.0,9.0,5.0,0.0,2.0,2.0,9.0,4.0,46.0,313.73,4.0,2.0,16.0,86.161399,72.0,4.605381,2.01466,543.918126
Teropavimab,transgenic_animal,60.65,8.89,-0.523,42.2,3.91,4.0,0.172,0.556,0.714,3.0,3.0,1.0,1.0,1.0,11.0,4.0,39.0,307.62,3.0,3.0,8.4,83.162712,58.0,4.675328,1.877394,640.64568
Tesidolumab,transgenic_animal,60.42,4.76,-0.277,37.2,-5.19,3.0,3.375,0.556,0.714,3.0,2.0,0.0,1.0,3.0,6.0,4.0,45.0,581.97,1.0,3.0,8.0,86.178162,64.0,4.597998,1.797844,614.858797
Tesnatilimab,transgenic_animal,68.71,6.14,-0.297,36.6,-1.09,3.0,2.904,0.556,0.571,4.0,4.0,0.0,0.0,1.0,8.0,4.0,43.0,227.07,1.0,2.0,-1.6,84.613903,66.0,4.731007,2.054452,524.235855
